,channelTitle,viewCount,likeCount,definition,commentCount,caption,subscribers,totalViews,totalVideos,avg polarity score,pushblishYear,durationSecs,tagCount,title length,description length,Label
131,3,51415,1225,0,37,0,1710000,347648425,2320,0.3429834862,2020,487.0,181,15,602,1
132,3,22137,395,0,13,0,1710000,347648425,2320,0.3426754306,2020,321.0,195,29,703,1
133,3,17684,336,0,13,0,1710000,347648425,2320,0.3423580856,2020,363.0,218,32,587,1
134,3,25369,469,0,7,0,1710000,347648425,2320,0.3427899598,2020,350.0,249,28,710,1
135,3,33754,652,0,16,0,1710000,347648425,2320,0.3435004487,2020,379.0,200,25,672,1
136,3,28590,580,0,20,0,1710000,347648425,2320,0.3432970821,2020,313.0,164,28,680,1
137,3,36808,593,0,26,0,1710000,347648425,2320,0.3410994132,2020,394.0,126,20,589,1
138,3,21862,340,0,14,0,1710000,347648425,2320,0.3407199806,2020,197.0,187,23,580,1
139,3,32743,501,0,11,0,1710000,347648425,2320,0.3414916788,2020,217.0,163,25,594,1
140,3,33610,532,0,17,0,1710000,347648425,2320,0.3415485577,2020,326.0,220,33,616,1
141,3,53983,913,0,40,0,1710000,347648425,2320,0.3395159166,2020,279.0,202,24,639,1
142,3,41911,785,0,28,0,1710000,347648425,2320,0.3401591272,2020,285.0,171,26,595,1
143,3,25177,431,0,31,0,1710000,347648425,2320,0.3388708159,2020,449.0,173,30,590,1
144,3,21422,427,0,40,0,1710000,347648425,2320,0.3405698756,2020,400.0,199,30,600,1
145,3,38364,675,0,26,0,1710000,347648425,2320,0.3410012797,2020,474.0,191,22,626,1
146,3,25736,447,0,32,0,1710000,347648425,2320,0.3408257117,2020,360.0,213,21,614,1
147,3,40217,760,0,31,0,1710000,347648425,2320,0.3409803044,2020,414.0,254,25,655,1
148,3,43292,887,0,38,0,1710000,347648425,2320,0.3423852343,2020,509.0,167,20,639,1
149,3,111341,3009,0,168,0,1710000,347648425,2320,0.3438319468,2020,609.0,167,20,620,1
150,3,32365,700,0,22,0,1710000,347648425,2320,0.3446200578,2020,360.0,184,35,623,1
151,3,60527,1226,0,34,0,1710000,347648425,2320,0.3437672512,2020,365.0,128,26,677,1
152,3,30834,544,0,19,0,1710000,347648425,2320,0.3436515998,2020,355.0,207,26,680,1
153,3,26442,432,0,20,0,1710000,347648425,2320,0.3429655408,2020,394.0,194,26,637,1
154,3,23508,357,0,27,0,1710000,347648425,2320,0.3421081372,2020,435.0,188,26,641,1
155,3,20453,360,0,22,0,1710000,347648425,2320,0.3411388119,2020,572.0,190,26,715,1
156,3,17055,286,0,19,0,1710000,347648425,2320,0.3400838455,2020,287.0,134,26,625,1
157,3,16702,281,0,29,0,1710000,347648425,2320,0.3395034348,2020,588.0,174,26,634,1
158,3,14404,234,0,9,0,1710000,347648425,2320,0.3388705951,2020,159.0,162,26,615,1
159,3,13811,218,0,16,0,1710000,347648425,2320,0.3385487041,2020,227.0,227,26,637,1
160,3,15500,251,0,36,0,1710000,347648425,2320,0.3378815113,2020,527.0,209,27,625,1
161,3,14242,238,0,7,0,1710000,347648425,2320,0.3372046672,2020,259.0,202,27,657,1
